year,state_fips,county_fips,state,county,total,female,male,alaskan_or_am_indian,asian,black,hispanic,mixed,pacific_islander,white
2000,01,001,Alabama,"Autauga County",44021,51.4,48.6,0.4,0.5,17.2,1.4,0.8,0.0,81.1
2001,01,001,Alabama,"Autauga County",44889,51.4,48.6,0.5,0.6,17.1,1.5,0.9,0.0,81.0
2002,01,001,Alabama,"Autauga County",45909,51.3,48.7,0.5,0.6,17.2,1.6,0.9,0.0,80.7
2003,01,001,Alabama,"Autauga County",46800,51.4,48.6,0.5,0.6,17.3,1.7,1.0,0.0,80.6
2004,01,001,Alabama,"Autauga County",48366,51.4,48.6,0.5,0.7,17.4,1.8,1.1,0.0,80.4
2005,01,001,Alabama,"Autauga County",49676,51.3,48.7,0.5,0.7,17.4,2.0,1.1,0.1,80.2
2006,01,001,Alabama,"Autauga County",51328,51.3,48.7,0.4,0.7,17.6,2.0,1.2,0.1,79.9
2007,01,001,Alabama,"Autauga County",52405,51.4,48.6,0.4,0.8,17.7,2.2,1.3,0.1,79.7
2008,01,001,Alabama,"Autauga County",53277,51.4,48.6,0.5,0.8,17.8,2.2,1.3,0.1,79.5
2009,01,001,Alabama,"Autauga County",54135,51.3,48.7,0.5,0.8,17.9,2.3,1.4,0.1,79.3
2010,01,001,Alabama,"Autauga County",54632,51.3,48.7,0.5,0.9,17.8,2.5,1.4,0.1,79.3
2000,01,003,Alabama,"Baldwin County",141342,51.0,49.0,0.6,0.4,10.3,1.8,0.8,0.0,87.8
2001,01,003,Alabama,"Baldwin County",144875,51.1,48.9,0.6,0.4,10.3,2.0,0.9,0.0,87.8
2002,01,003,Alabama,"Baldwin County",147957,51.1,48.9,0.6,0.5,10.2,2.2,0.9,0.0,87.8
2003,01,003,Alabama,"Baldwin County",151509,51.0,49.0,0.6,0.5,10.1,2.4,1.0,0.0,87.8
2004,01,003,Alabama,"Baldwin County",156266,51.0,49.0,0.6,0.6,9.9,2.6,1.0,0.0,87.8
2005,01,003,Alabama,"Baldwin County",162183,51.0,49.0,0.6,0.6,9.8,2.9,1.1,0.1,87.8
2006,01,003,Alabama,"Baldwin County",168121,51.1,48.9,0.7,0.6,9.6,3.3,1.2,0.0,87.9
2007,01,003,Alabama,"Baldwin County",172404,51.2,48.8,0.7,0.7,9.6,3.6,1.2,0.0,87.9
2008,01,003,Alabama,"Baldwin County",175827,51.2,48.8,0.7,0.7,9.5,3.9,1.3,0.1,87.8
2009,01,003,Alabama,"Baldwin County",179406,51.1,48.9,0.7,0.7,9.5,4.2,1.3,0.1,87.7
2010,01,003,Alabama,"Baldwin County",183195,51.1,48.9,0.7,0.8,9.5,4.4,1.4,0.1,87.6
2000,01,005,Alabama,"Barbour County",29015,48.5,51.5,0.5,0.3,46.5,1.6,0.6,0.0,52.2
2001,01,005,Alabama,"Barbour County",28863,48.4,51.6,0.5,0.3,46.4,2.1,0.6,0.0,52.2
2002,01,005,Alabama,"Barbour County",28653,47.9,52.1,0.5,0.3,46.9,2.4,0.6,0.0,51.6
2003,01,005,Alabama,"Barbour County",28594,47.5,52.5,0.5,0.4,47.0,2.7,0.7,0.1,51.5
2004,01,005,Alabama,"Barbour County",28287,47.5,52.5,0.5,0.4,47.1,3.1,0.7,0.1,51.3
2005,01,005,Alabama,"Barbour County",28027,47.5,52.5,0.5,0.4,47.1,3.6,0.6,0.1,51.3
2006,01,005,Alabama,"Barbour County",27861,47.2,52.8,0.5,0.4,47.0,4.1,0.7,0.1,51.3
2007,01,005,Alabama,"Barbour County",27757,47.3,52.7,0.5,0.4,47.0,4.5,0.7,0.1,51.2
2008,01,005,Alabama,"Barbour County",27808,46.9,53.1,0.5,0.4,47.0,4.8,0.7,0.2,51.2
2009,01,005,Alabama,"Barbour County",27657,46.9,53.1,0.6,0.4,47.1,4.9,0.7,0.2,51.0
2010,01,005,Alabama,"Barbour County",27411,46.9,53.1,0.6,0.4,47.1,5.0,1.0,0.1,50.8
2000,01,007,Alabama,"Bibb County",19913,50.7,49.3,0.3,0.1,20.2,1.0,0.5,0.0,79.0
2001,01,007,Alabama,"Bibb County",21028,49.0,51.0,0.2,0.1,21.7,1.2,0.4,0.0,77.5
2002,01,007,Alabama,"Bibb County",21199,48.7,51.3,0.3,0.1,22.0,1.2,0.5,0.0,77.1
2003,01,007,Alabama,"Bibb County",21399,48.3,51.7,0.3,0.1,21.9,1.4,0.5,0.0,77.2
2004,01,007,Alabama,"Bibb County",21721,47.9,52.1,0.3,0.1,22.0,1.5,0.6,0.0,77.0
2005,01,007,Alabama,"Bibb County",22042,47.6,52.4,0.3,0.1,22.0,1.5,0.7,0.1,76.9
2006,01,007,Alabama,"Bibb County",22099,47.2,52.8,0.3,0.1,21.9,1.6,0.7,0.1,76.9
2007,01,007,Alabama,"Bibb County",22438,47.2,52.8,0.3,0.1,21.7,1.6,0.8,0.1,77.0
2008,01,007,Alabama,"Bibb County",22705,47.0,53.0,0.3,0.1,22.1,1.6,0.8,0.1,76.6
2009,01,007,Alabama,"Bibb County",22941,46.2,53.8,0.3,0.1,22.2,1.8,0.8,0.1,76.5
2010,01,007,Alabama,"Bibb County",22867,46.3,53.7,0.4,0.2,22.1,1.8,0.7,0.1,76.5
2000,01,009,Alabama,"Blount County",51107,50.1,49.9,0.5,0.2,1.2,5.3,0.8,0.0,97.3
2001,01,009,Alabama,"Blount County",51845,50.0,50.0,0.6,0.2,1.4,5.5,0.8,0.0,97.1
2002,01,009,Alabama,"Blount County",52551,50.2,49.8,0.6,0.2,1.5,5.8,0.8,0.0,97.0
2003,01,009,Alabama,"Blount County",53457,50.2,49.8,0.6,0.2,1.6,5.9,0.8,0.0,96.8
2004,01,009,Alabama,"Blount County",54124,50.2,49.8,0.6,0.2,1.6,6.2,0.8,0.0,96.7
2005,01,009,Alabama,"Blount County",54624,50.3,49.7,0.6,0.2,1.5,6.6,0.8,0.1,96.8
2006,01,009,Alabama,"Blount County",55485,50.4,49.6,0.6,0.2,1.5,6.8,0.9,0.1,96.7
2007,01,009,Alabama,"Blount County",56240,50.3,49.7,0.6,0.2,1.6,7.2,0.9,0.1,96.6
2008,01,009,Alabama,"Blount County",57055,50.3,49.7,0.6,0.2,1.5,7.5,1.0,0.1,96.6
2009,01,009,Alabama,"Blount County",57341,50.5,49.5,0.6,0.2,1.5,7.8,1.0,0.1,96.6
2010,01,009,Alabama,"Blount County",57338,50.5,49.5,0.5,0.3,1.5,8.1,1.1,0.1,96.6
2000,01,011,Alabama,"Bullock County",11581,47.7,52.3,0.4,0.2,73.3,2.8,0.6,0.0,25.6
2001,01,011,Alabama,"Bullock County",11358,47.3,52.7,0.4,0.2,72.8,3.6,0.6,0.0,26.0
2002,01,011,Alabama,"Bullock County",11256,46.9,53.1,0.4,0.2,72.2,4.2,0.6,0.1,26.5
2003,01,011,Alabama,"Bullock County",11316,46.2,53.8,0.5,0.2,71.6,4.8,0.6,0.2,26.9
2004,01,011,Alabama,"Bullock County",11056,46.3,53.7,0.6,0.2,71.9,5.3,0.6,0.2,26.5
2005,01,011,Alabama,"Bullock County",11011,46.4,53.6,0.5,0.2,71.5,5.7,0.7,0.4,26.6
2006,01,011,Alabama,"Bullock County",10776,46.5,53.5,0.5,0.2,71.8,6.1,0.7,0.5,26.2
2007,01,011,Alabama,"Bullock County",11011,45.9,54.1,0.6,0.2,71.6,6.5,0.7,0.5,26.3
2008,01,011,Alabama,"Bullock County",10953,45.6,54.4,0.7,0.2,71.1,6.7,0.9,0.7,26.5
2009,01,011,Alabama,"Bullock County",10987,45.3,54.7,0.8,0.2,70.8,7.0,0.9,0.7,26.6
2010,01,011,Alabama,"Bullock County",10890,45.9,54.1,0.9,0.4,70.9,6.4,1.4,0.4,25.9
2000,01,013,Alabama,"Butler County",21325,53.1,46.9,0.2,0.2,40.9,0.7,0.3,0.0,58.3
2001,01,013,Alabama,"Butler County",21139,53.1,46.9,0.2,0.2,41.1,0.7,0.4,0.0,58.2
2002,01,013,Alabama,"Butler County",20803,53.0,47.0,0.2,0.3,41.2,0.7,0.4,0.0,57.8
2003,01,013,Alabama,"Butler County",20833,53.0,47.0,0.2,0.4,41.6,0.7,0.4,0.0,57.4
2004,01,013,Alabama,"Butler County",20870,53.0,47.0,0.2,0.4,41.9,0.8,0.5,0.0,57.0
2005,01,013,Alabama,"Butler County",20830,52.9,47.1,0.3,0.6,41.9,0.8,0.4,0.0,56.9
2006,01,013,Alabama,"Butler County",20815,52.9,47.1,0.3,0.6,42.4,0.9,0.6,0.0,56.0
2007,01,013,Alabama,"Butler County",20894,52.8,47.2,0.3,0.7,42.8,0.9,0.6,0.0,55.6
2008,01,013,Alabama,"Butler County",20949,53.2,46.8,0.3,0.8,43.5,0.8,0.6,0.0,54.8
2009,01,013,Alabama,"Butler County",20867,53.2,46.8,0.3,0.8,43.4,0.9,0.7,0.0,54.8
2010,01,013,Alabama,"Butler County",20951,53.1,46.9,0.3,0.8,43.5,1.0,0.7,0.0,54.7
2000,01,015,Alabama,"Calhoun County",111081,52.2,47.8,0.4,0.6,18.7,1.6,0.8,0.1,79.4
2001,01,015,Alabama,"Calhoun County",111266,52.1,47.9,0.4,0.6,19.0,1.7,0.9,0.1,79.1
2002,01,015,Alabama,"Calhoun County",111625,52.0,48.0,0.5,0.6,19.2,1.8,0.9,0.1,78.8
2003,01,015,Alabama,"Calhoun County",112705,52.0,48.0,0.5,0.6,19.3,2.0,1.0,0.1,78.5
2004,01,015,Alabama,"Calhoun County",113462,51.9,48.1,0.4,0.7,19.6,2.2,1.1,0.1,78.1
2005,01,015,Alabama,"Calhoun County",114477,51.9,48.1,0.5,0.7,19.9,2.4,1.2,0.1,77.6
2006,01,015,Alabama,"Calhoun County",115388,51.9,48.1,0.5,0.7,20.1,2.6,1.3,0.1,77.4
2007,01,015,Alabama,"Calhoun County",116211,51.9,48.1,0.5,0.7,20.2,2.8,1.4,0.1,77.1
2008,01,015,Alabama,"Calhoun County",117274,51.9,48.1,0.5,0.7,20.5,2.9,1.4,0.1,76.7
2009,01,015,Alabama,"Calhoun County",118363,51.8,48.2,0.5,0.8,20.7,3.2,1.5,0.1,76.5
2010,01,015,Alabama,"Calhoun County",118510,51.8,48.2,0.5,0.7,20.7,3.4,1.6,0.1,76.4
2000,01,017,Alabama,"Chambers County",36571,52.7,47.3,0.1,0.2,38.2,0.8,0.5,0.0,60.9
2001,01,017,Alabama,"Chambers County",36274,52.5,47.5,0.1,0.2,38.3,0.9,0.5,0.0,60.8
2002,01,017,Alabama,"Chambers County",35965,52.4,47.6,0.1,0.2,38.6,1.0,0.6,0.0,60.4
2003,01,017,Alabama,"Chambers County",35680,52.4,47.6,0.2,0.3,38.7,1.1,0.6,0.0,60.2
2004,01,017,Alabama,"Chambers County",35463,52.4,47.6,0.2,0.3,38.8,1.2,0.7,0.0,60.1
2005,01,017,Alabama,"Chambers County",35279,52.6,47.4,0.2,0.4,38.9,1.2,0.7,0.0,59.8
2006,01,017,Alabama,"Chambers County",34945,52.3,47.7,0.2,0.4,38.9,1.4,0.8,0.0,59.6
2007,01,017,Alabama,"Chambers County",34847,52.3,47.7,0.2,0.4,39.0,1.5,0.8,0.0,59.5
2008,01,017,Alabama,"Chambers County",34563,52.2,47.8,0.2,0.4,39.1,1.5,0.9,0.0,59.3
2009,01,017,Alabama,"Chambers County",34384,52.2,47.8,0.2,0.5,39.2,1.5,0.9,0.0,59.2
2010,01,017,Alabama,"Chambers County",34157,52.2,47.8,0.2,0.5,39.0,1.6,1.0,0.1,59.2
2000,01,019,Alabama,"Cherokee County",24006,50.8,49.2,0.3,0.1,5.6,0.8,0.7,0.0,93.3
2001,01,019,Alabama,"Cherokee County",24182,50.7,49.3,0.3,0.1,5.3,1.0,0.7,0.0,93.5
2002,01,019,Alabama,"Cherokee County",24403,50.6,49.4,0.3,0.2,5.3,1.0,0.8,0.0,93.3
2003,01,019,Alabama,"Cherokee County",24591,50.6,49.4,0.3,0.2,5.2,1.0,0.9,0.0,93.3
2004,01,019,Alabama,"Cherokee County",24887,50.9,49.1,0.4,0.2,5.2,1.0,1.0,0.0,93.3
2005,01,019,Alabama,"Cherokee County",25031,50.9,49.1,0.4,0.2,5.0,1.1,1.0,0.0,93.4
2006,01,019,Alabama,"Cherokee County",25466,50.5,49.5,0.4,0.2,4.9,1.1,1.1,0.0,93.3
2007,01,019,Alabama,"Cherokee County",25553,50.4,49.6,0.5,0.2,4.9,1.2,1.1,0.0,93.3
2008,01,019,Alabama,"Cherokee County",25636,50.3,49.7,0.5,0.2,4.9,1.2,1.3,0.0,93.2
2009,01,019,Alabama,"Cherokee County",25854,50.4,49.6,0.5,0.2,4.9,1.2,1.3,0.0,93.1
2010,01,019,Alabama,"Cherokee County",25991,50.4,49.6,0.5,0.3,4.8,1.4,1.2,0.0,93.2
2000,01,021,Alabama,"Chilton County",39897,50.6,49.4,0.3,0.2,10.5,2.9,0.5,0.0,88.4
2001,01,021,Alabama,"Chilton County",40197,50.6,49.4,0.3,0.2,10.7,3.2,0.6,0.0,88.3
2002,01,021,Alabama,"Chilton County",40683,50.6,49.4,0.3,0.2,10.6,3.6,0.6,0.0,88.2
2003,01,021,Alabama,"Chilton County",41079,50.6,49.4,0.3,0.2,10.5,4.1,0.7,0.1,88.2
2004,01,021,Alabama,"Chilton County",41534,50.8,49.2,0.3,0.2,10.3,4.6,0.7,0.1,88.3
2005,01,021,Alabama,"Chilton County",41946,50.8,49.2,0.4,0.3,10.1,5.0,0.7,0.1,88.4
2006,01,021,Alabama,"Chilton County",42318,50.6,49.4,0.4,0.3,10.1,5.3,0.8,0.1,88.3
2007,01,021,Alabama,"Chilton County",42881,50.6,49.4,0.4,0.3,10.0,6.0,0.8,0.2,88.3
2008,01,021,Alabama,"Chilton County",43239,50.6,49.4,0.4,0.3,10.0,6.6,0.9,0.2,88.2
2009,01,021,Alabama,"Chilton County",43484,50.4,49.6,0.5,0.3,10.0,7.3,0.9,0.2,88.1
2010,01,021,Alabama,"Chilton County",43682,50.5,49.5,0.4,0.4,10.0,7.8,1.0,0.2,88.1
2000,01,023,Alabama,"Choctaw County",15875,52.9,47.1,0.2,0.0,44.4,0.7,0.4,0.0,55.0
2001,01,023,Alabama,"Choctaw County",15677,52.7,47.3,0.2,0.0,44.2,0.7,0.4,0.0,55.2
2002,01,023,Alabama,"Choctaw County",15367,52.6,47.4,0.2,0.0,44.0,0.6,0.4,0.0,55.4
2003,01,023,Alabama,"Choctaw County",15199,52.5,47.5,0.2,0.0,43.9,0.6,0.4,0.0,55.6
2004,01,023,Alabama,"Choctaw County",14930,52.5,47.5,0.2,0.0,43.8,0.6,0.4,0.0,55.6
2005,01,023,Alabama,"Choctaw County",14545,52.2,47.8,0.2,0.1,43.4,0.6,0.3,0.0,56.1
2006,01,023,Alabama,"Choctaw County",14431,51.7,48.3,0.1,0.1,43.8,0.5,0.4,0.0,55.6
2007,01,023,Alabama,"Choctaw County",14216,51.7,48.3,0.1,0.1,43.6,0.6,0.4,0.0,55.8
2008,01,023,Alabama,"Choctaw County",14114,52.0,48.0,0.1,0.1,44.1,0.5,0.4,0.0,55.3
2009,01,023,Alabama,"Choctaw County",13976,51.5,48.5,0.1,0.1,43.6,0.5,0.4,0.0,55.8
2010,01,023,Alabama,"Choctaw County",13820,51.8,48.2,0.2,0.2,43.2,0.5,0.5,0.0,55.9
2000,01,025,Alabama,"Clarke County",27819,52.7,47.3,0.2,0.2,43.2,0.6,0.4,0.0,56.0
2001,01,025,Alabama,"Clarke County",27624,52.6,47.4,0.2,0.2,43.2,0.7,0.4,0.0,56.0
2002,01,025,Alabama,"Clarke County",27267,52.6,47.4,0.3,0.2,43.2,0.7,0.4,0.0,55.9
2003,01,025,Alabama,"Clarke County",27090,52.6,47.4,0.3,0.2,43.3,0.7,0.5,0.0,55.8
2004,01,025,Alabama,"Clarke County",26958,52.6,47.4,0.3,0.2,43.3,0.8,0.5,0.0,55.7
2005,01,025,Alabama,"Clarke County",26764,52.7,47.3,0.3,0.2,43.4,0.8,0.5,0.0,55.6
2006,01,025,Alabama,"Clarke County",26755,52.6,47.4,0.3,0.3,43.6,0.9,0.5,0.0,55.3
2007,01,025,Alabama,"Clarke County",26436,52.7,47.3,0.4,0.3,43.8,0.9,0.5,0.0,55.0
2008,01,025,Alabama,"Clarke County",26283,52.5,47.5,0.4,0.3,43.8,0.9,0.6,0.0,54.9
2009,01,025,Alabama,"Clarke County",26038,52.6,47.4,0.4,0.3,44.0,1.0,0.6,0.0,54.7
2010,01,025,Alabama,"Clarke County",25763,52.7,47.3,0.4,0.3,44.0,1.1,0.6,0.0,54.6
2000,01,027,Alabama,"Clay County",14263,51.2,48.8,0.3,0.1,15.6,1.8,0.7,0.0,83.2
2001,01,027,Alabama,"Clay County",14298,51.1,48.9,0.3,0.1,15.5,1.9,0.7,0.0,83.4
2002,01,027,Alabama,"Clay County",14257,51.2,48.8,0.3,0.1,15.6,2.1,0.8,0.0,83.2
2003,01,027,Alabama,"Clay County",14203,51.1,48.9,0.3,0.1,15.7,2.0,1.0,0.0,82.9
2004,01,027,Alabama,"Clay County",14121,51.2,48.8,0.4,0.1,15.3,2.2,1.0,0.0,83.2
2005,01,027,Alabama,"Clay County",14077,51.2,48.8,0.3,0.1,15.6,2.4,1.1,0.0,82.9
2006,01,027,Alabama,"Clay County",14053,51.3,48.7,0.3,0.2,15.1,2.5,1.2,0.0,83.1
2007,01,027,Alabama,"Clay County",14085,51.0,49.0,0.4,0.2,15.1,2.6,1.3,0.0,83.0
2008,01,027,Alabama,"Clay County",14161,51.1,48.9,0.4,0.2,15.5,2.7,1.4,0.0,82.6
2009,01,027,Alabama,"Clay County",14006,50.6,49.4,0.4,0.2,15.4,2.9,1.5,0.0,82.5
2010,01,027,Alabama,"Clay County",13897,51.0,49.0,0.5,0.3,14.9,2.8,1.5,0.0,82.8
2000,01,029,Alabama,"Cleburne County",14172,50.1,49.9,0.3,0.2,3.7,1.4,0.6,0.0,95.2
2001,01,029,Alabama,"Cleburne County",14222,50.2,49.8,0.3,0.2,3.7,1.5,0.7,0.0,95.2
2002,01,029,Alabama,"Cleburne County",14416,50.0,50.0,0.3,0.1,3.9,1.7,0.7,0.0,95.0
2003,01,029,Alabama,"Cleburne County",14438,50.2,49.8,0.3,0.1,3.9,1.8,0.7,0.0,94.9
2004,01,029,Alabama,"Cleburne County",14339,50.2,49.8,0.3,0.1,3.8,1.7,0.7,0.0,95.0
2005,01,029,Alabama,"Cleburne County",14368,50.3,49.7,0.3,0.2,3.6,1.8,0.8,0.1,95.0
2006,01,029,Alabama,"Cleburne County",14538,50.1,49.9,0.3,0.2,3.6,2.0,0.8,0.1,94.9
2007,01,029,Alabama,"Cleburne County",14799,50.2,49.8,0.3,0.2,3.7,1.9,0.9,0.1,94.9
2008,01,029,Alabama,"Cleburne County",14874,50.2,49.8,0.3,0.2,3.5,2.0,0.9,0.1,95.0
2009,01,029,Alabama,"Cleburne County",14918,50.0,50.0,0.3,0.2,3.5,2.2,0.9,0.1,95.0
2010,01,029,Alabama,"Cleburne County",14988,50.2,49.8,0.4,0.2,3.4,2.1,0.9,0.1,95.1
2000,01,031,Alabama,"Coffee County",43580,51.2,48.8,0.9,1.0,18.5,2.7,1.4,0.1,78.1
2001,01,031,Alabama,"Coffee County",43716,51.1,48.9,1.0,1.1,18.3,2.9,1.5,0.2,78.0
2002,01,031,Alabama,"Coffee County",43930,51.0,49.0,1.0,1.1,18.1,3.2,1.5,0.2,78.0
2003,01,031,Alabama,"Coffee County",44315,51.0,49.0,1.1,1.1,17.9,3.6,1.7,0.2,78.0
2004,01,031,Alabama,"Coffee County",45053,50.9,49.1,1.1,1.2,17.8,3.9,1.8,0.3,77.9
2005,01,031,Alabama,"Coffee County",45604,50.8,49.2,1.2,1.2,17.5,4.3,2.0,0.3,77.8
2006,01,031,Alabama,"Coffee County",46228,50.8,49.2,1.3,1.2,17.5,4.6,2.0,0.3,77.7
2007,01,031,Alabama,"Coffee County",47458,50.8,49.2,1.3,1.2,17.5,5.1,2.0,0.4,77.7
2008,01,031,Alabama,"Coffee County",48516,50.6,49.4,1.4,1.2,17.3,5.7,2.2,0.4,77.6
2009,01,031,Alabama,"Coffee County",49440,50.5,49.5,1.4,1.3,17.0,6.0,2.2,0.5,77.6
2010,01,031,Alabama,"Coffee County",50104,50.6,49.4,1.4,1.3,17.0,6.4,2.3,0.5,77.5
2000,01,033,Alabama,"Colbert County",54997,52.2,47.8,0.4,0.2,16.7,1.1,0.8,0.0,81.9
2001,01,033,Alabama,"Colbert County",54793,52.1,47.9,0.4,0.3,16.6,1.2,0.9,0.0,81.8
2002,01,033,Alabama,"Colbert County",54536,52.0,48.0,0.4,0.3,16.6,1.3,0.9,0.0,81.8
2003,01,033,Alabama,"Colbert County",54279,51.9,48.1,0.4,0.3,16.4,1.3,1.0,0.0,81.9
2004,01,033,Alabama,"Colbert County",54380,51.9,48.1,0.4,0.3,16.3,1.5,1.0,0.0,81.9
2005,01,033,Alabama,"Colbert County",54359,51.9,48.1,0.5,0.3,16.2,1.6,1.1,0.0,81.9
2006,01,033,Alabama,"Colbert County",54413,51.9,48.1,0.5,0.4,16.0,1.8,1.2,0.0,81.9
2007,01,033,Alabama,"Colbert County",54486,51.9,48.1,0.5,0.4,16.1,1.8,1.2,0.0,81.9
2008,01,033,Alabama,"Colbert County",54473,52.0,48.0,0.5,0.4,16.1,2.0,1.3,0.0,81.7
2009,01,033,Alabama,"Colbert County",54426,52.0,48.0,0.5,0.4,16.1,2.0,1.4,0.0,81.5
2010,01,033,Alabama,"Colbert County",54433,51.9,48.1,0.5,0.5,16.2,2.1,1.4,0.1,81.3
2000,01,035,Alabama,"Conecuh County",14035,52.7,47.3,0.2,0.1,43.8,0.7,0.6,0.0,55.2
2001,01,035,Alabama,"Conecuh County",13940,52.5,47.5,0.2,0.1,44.5,0.7,0.6,0.1,54.6
2002,01,035,Alabama,"Conecuh County",13793,52.4,47.6,0.2,0.1,44.6,0.8,0.6,0.1,54.4
2003,01,035,Alabama,"Conecuh County",13585,51.8,48.2,0.3,0.1,44.7,0.8,0.6,0.0,54.2
2004,01,035,Alabama,"Conecuh County",13430,51.9,48.1,0.3,0.1,45.0,0.9,0.7,0.0,53.9
2005,01,035,Alabama,"Conecuh County",13421,51.8,48.2,0.3,0.1,45.7,1.0,0.8,0.0,53.1
2006,01,035,Alabama,"Conecuh County",13603,51.7,48.3,0.3,0.1,45.9,1.0,0.8,0.0,52.8
2007,01,035,Alabama,"Conecuh County",13441,51.6,48.4,0.3,0.1,46.0,1.1,0.9,0.0,52.7
2008,01,035,Alabama,"Conecuh County",13388,51.2,48.8,0.3,0.1,46.5,1.2,1.0,0.0,52.1
2009,01,035,Alabama,"Conecuh County",13274,51.5,48.5,0.3,0.1,46.4,1.2,1.0,0.0,52.1
2010,01,035,Alabama,"Conecuh County",13202,51.6,48.4,0.5,0.2,46.6,1.2,0.8,0.0,51.8
2000,01,037,Alabama,"Coosa County",11844,50.1,49.9,0.3,0.1,33.5,1.3,0.6,0.0,65.5
2001,01,037,Alabama,"Coosa County",11848,49.8,50.2,0.3,0.0,33.6,1.3,0.6,0.0,65.4
2002,01,037,Alabama,"Coosa County",11740,49.7,50.3,0.3,0.1,33.5,1.4,0.6,0.0,65.4
2003,01,037,Alabama,"Coosa County",11732,49.8,50.2,0.3,0.1,33.1,1.4,0.7,0.0,65.8
2004,01,037,Alabama,"Coosa County",11560,50.0,50.0,0.4,0.1,33.1,1.5,0.8,0.1,65.6
2005,01,037,Alabama,"Coosa County",11467,50.0,50.0,0.5,0.1,32.7,1.7,0.7,0.1,65.9
2006,01,037,Alabama,"Coosa County",11451,50.2,49.8,0.5,0.1,32.3,1.8,0.8,0.1,66.2
2007,01,037,Alabama,"Coosa County",11439,50.1,49.9,0.5,0.1,31.9,1.8,0.8,0.1,66.5
2008,01,037,Alabama,"Coosa County",11493,50.7,49.3,0.5,0.1,32.2,1.8,0.8,0.1,66.2
2009,01,037,Alabama,"Coosa County",11410,50.4,49.6,0.6,0.1,31.3,2.0,0.9,0.1,67.0
2010,01,037,Alabama,"Coosa County",11556,50.3,49.7,0.5,0.3,31.1,1.8,0.9,0.1,67.1
2000,01,039,Alabama,"Covington County",37514,52.2,47.8,0.5,0.2,12.4,0.8,0.5,0.0,86.4
2001,01,039,Alabama,"Covington County",37069,52.1,47.9,0.5,0.2,12.3,0.8,0.6,0.0,86.3
2002,01,039,Alabama,"Covington County",36901,51.9,48.1,0.5,0.2,12.3,0.9,0.7,0.0,86.3
2003,01,039,Alabama,"Covington County",36860,51.9,48.1,0.5,0.3,12.3,0.9,0.8,0.0,86.1
2004,01,039,Alabama,"Covington County",36806,51.8,48.2,0.5,0.3,12.3,0.9,0.9,0.0,86.0
2005,01,039,Alabama,"Covington County",37204,51.9,48.1,0.5,0.4,12.3,1.1,0.9,0.0,85.9
2006,01,039,Alabama,"Covington County",37441,51.8,48.2,0.6,0.3,12.4,1.2,1.0,0.0,85.7
2007,01,039,Alabama,"Covington County",37631,51.7,48.3,0.6,0.3,12.5,1.2,1.1,0.0,85.5
2008,01,039,Alabama,"Covington County",37545,51.6,48.4,0.6,0.4,12.5,1.2,1.1,0.0,85.4
2009,01,039,Alabama,"Covington County",37648,51.6,48.4,0.6,0.4,12.6,1.3,1.2,0.0,85.2
2010,01,039,Alabama,"Covington County",37776,51.6,48.4,0.6,0.4,12.6,1.4,1.2,0.0,85.1
2000,01,041,Alabama,"Crenshaw County",13692,52.7,47.3,0.4,0.1,24.9,0.6,0.6,0.0,74.0
2001,01,041,Alabama,"Crenshaw County",13724,52.6,47.4,0.4,0.2,24.8,0.7,0.7,0.0,73.8
2002,01,041,Alabama,"Crenshaw County",13635,52.4,47.6,0.4,0.4,24.6,0.9,0.7,0.0,74.0
2003,01,041,Alabama,"Crenshaw County",13652,52.3,47.7,0.4,0.5,24.4,0.9,0.8,0.0,73.8
2004,01,041,Alabama,"Crenshaw County",13727,52.4,47.6,0.4,0.6,24.3,0.9,0.9,0.0,73.8
2005,01,041,Alabama,"Crenshaw County",13699,52.2,47.8,0.4,0.9,24.4,1.1,1.0,0.0,73.3
2006,01,041,Alabama,"Crenshaw County",13880,51.8,48.2,0.4,1.0,24.4,1.2,1.1,0.1,73.0
2007,01,041,Alabama,"Crenshaw County",13956,51.6,48.4,0.4,1.1,24.8,1.2,1.2,0.1,72.5
2008,01,041,Alabama,"Crenshaw County",13922,51.7,48.3,0.4,1.2,24.2,1.4,1.3,0.1,72.9
2009,01,041,Alabama,"Crenshaw County",14024,51.8,48.2,0.4,1.3,23.9,1.4,1.4,0.1,72.9
2010,01,041,Alabama,"Crenshaw County",13857,51.8,48.2,0.6,1.3,23.5,1.7,1.4,0.0,73.2
2000,01,043,Alabama,"Cullman County",77473,50.7,49.3,0.4,0.2,1.0,2.2,0.8,0.0,97.6
2001,01,043,Alabama,"Cullman County",77415,50.6,49.4,0.5,0.2,1.0,2.3,0.8,0.0,97.4
2002,01,043,Alabama,"Cullman County",77443,50.6,49.4,0.5,0.3,1.0,2.5,0.8,0.0,97.4
2003,01,043,Alabama,"Cullman County",77657,50.5,49.5,0.5,0.3,1.1,2.7,0.9,0.0,97.2
2004,01,043,Alabama,"Cullman County",78131,50.5,49.5,0.5,0.3,1.1,2.9,0.9,0.0,97.2
2005,01,043,Alabama,"Cullman County",78692,50.5,49.5,0.5,0.3,1.1,3.2,1.0,0.0,97.1
2006,01,043,Alabama,"Cullman County",79044,50.4,49.6,0.5,0.3,1.1,3.6,1.0,0.0,97.0
2007,01,043,Alabama,"Cullman County",79576,50.4,49.6,0.5,0.4,1.2,3.7,1.0,0.0,96.9
